         F1 ,         F2,         F3,        F4,       F5,        F6,          P1,           L1,            T1,           F7,            T2,               L2,        P2,           F8,            L3,            P3,             F9,             T3,           F10,            C1,          T4,           T5
0.23766,3641.3,4456.2,9.3705,26.678,41.96,2710.7,75.934,120.39,0.33251,80.394,49.84,2639.8,26.209,52.042,3107.7,23.996,65.812,231.34,341.78,94.641,77.992
0.23591,3645.3,4449.9,9.4324,26.974,42.07,2713.3,75.152,120.4,0.33622,80.543,50.43,2641.3,26.151,50.615,3112,22.342,65.943,233.89,340.76,94.689,77.773
0.23072,3638.3,4541.9,9.0874,26.84,42.359,2717.8,75.077,120.39,0.32465,80.609,49.76,2646,27.46,49.21,3115.1,22.994,66.048,231.41,339.48,94.839,77.751
0.22955,3679.2,4499.3,9.3604,27.171,42.105,2717.1,75.916,120.39,0.32304,80.413,50.021,2644.5,26.525,50.489,3119.4,22.298,66.102,233.92,337.94,94.872,77.433
0.23523,3699.5,4522.1,9.3477,27.004,41.884,2716.6,75.118,120.39,0.34563,80.147,48.826,2643.3,26.061,49.146,3122.8,22.427,66.056,233.27,336.38,94.84,77.103
0.23507,3726.5,4519.4,9.2684,26.987,42.572,2719,74.836,120.39,0.34926,80.001,50.725,2645.4,24.635,50.622,3124.4,22.195,65.912,234.38,335.89,94.81,77.478
0.26972,3621.3,4493.9,9.4483,27.148,41.979,2723.4,75.648,120.38,0.32433,80.191,49.905,2650.7,25.168,49.488,3129.6,23.138,65.907,232.38,334.51,94.849,77.753
0.26875,3632.2,4507.7,9.331,26.55,42.199,2732.1,74.211,120.38,0.32381,80.652,48.688,2659,24.204,49.075,3138.6,21.965,65.97,233.77,333.62,95.009,78.01
0.35383,3627.9,4557.4,9.2563,26.876,42.143,2738.1,74.749,120.43,0.32896,80.525,51.801,2664.8,25.295,48.713,3147.6,22.809,66.02,234.01,332.47,94.826,77.466
0.35511,3650,4557.7,9.3024,27.281,41.868,2740.8,74.988,120.4,0.32535,80.18,50.273,2668.6,24.285,50.443,3152.2,23.621,65.973,233.4,331.96,94.992,77.412
0.35549,3651.1,4465,9.2458,26.892,42.655,2745.4,75.254,120.38,0.32249,80.018,49.204,2671.4,22.416,51.59,3157.5,23.527,65.863,233.19,331.09,94.956,77.306
0.3568,3653,4485.1,9.2353,26.812,42.2,2751.5,75.343,120.39,0.32258,79.967,50.131,2677.5,23.305,48.075,3162.5,22.243,65.787,235.01,331.25,94.947,77.329
0.48547,3645,4466.7,9.4143,26.557,42.146,2758.1,75.588,120.41,0.3039,79.739,50.001,2683.4,25.603,49.459,3170.5,22.557,65.666,231.98,330.37,94.965,77.093
0.48368,3656.5,4501.1,9.327,26.811,42.51,2764,75.482,120.43,0.30418,79.547,50.39,2690.7,25.464,49.369,3177.1,22.186,65.537,234.51,330.48,94.702,77.287
0.4654,3702.2,4543.5,9.2228,26.862,42.057,2768.2,75.548,120.39,0.30798,79.408,48.91,2695.5,25.01,47.677,3182.9,23.352,65.465,234.58,330.34,94.952,77.313
0.4649,3644.1,4519.8,9.3717,26.781,42.368,2776.1,74.682,120.42,0.30607,79.473,50.026,2702.4,22.8,49.766,3189.8,23.281,65.391,232.46,330.38,94.676,77.207
0.5061,3750.4,4518.2,9.1891,26.743,42.537,2784.3,75.226,120.44,0.30083,79.67,50.077,2712.4,26.119,48.651,3199.3,21.59,65.348,234.99,330.15,94.579,77.566
0.50532,3741.4,4522.1,9.2745,26.807,42.13,2787.5,75.674,120.41,0.29644,79.427,49.333,2714.3,25.498,49.667,3201.6,22.48,65.335,231.81,330.1,94.503,76.907
0.59077,3651.6,4514.5,9.1515,26.977,42.561,2790.8,75.506,120.43,0.29757,79.264,50.79,2717.3,24.443,50.148,3206.8,21.328,65.263,232.94,329.8,94.549,77.043
0.59208,3671.5,4514.1,9.1231,26.853,42.382,2793,75.429,120.39,0.29936,78.924,52.203,2719.3,24.65,50.151,3208.1,22.75,65.169,231.87,329.92,94.738,76.877
0.57772,3689.5,4533.4,9.1583,27.076,42.507,2794.1,76.685,120.42,0.30474,78.605,49.259,2720.5,25.852,48.975,3209.6,21.9,65.019,231.41,329.98,94.759,76.407
