       F1,         F2,        F3,         F4,        F5,         F6,         P1,          L1,          T1,          F7,            T2,             L2,            P2,             F8,             L3,            P3,           F9,             T3,            F10,            C1,            T4,           T5
0.25209,3649,4463.9,9.4179,27.112,41.892,2711.5,76.03,120.39,0.33886,79.891,49.822,2640.7,25.581,47.205,3105.9,23.307,65.62,229.86,343.33,94.695,77.363
0.25312,3659.4,4412.6,9.3558,26.911,42.523,2712.4,74.565,120.39,0.33905,79.864,49.342,2640.5,24.193,46.808,3106.6,23.125,65.575,228.32,343.42,94.693,77.311
0.24426,3696.4,4505,9.4491,27.478,42.116,2713.2,75.501,120.41,0.3403,79.899,49.775,2642.8,23.896,50.285,3109,23.3,65.599,230.02,343.25,94.653,77.502
0.24726,3689.3,4506.7,9.3822,27.208,42.535,2715.7,74.798,120.4,0.34318,80.1,51.009,2644.5,22.827,50.924,3111.1,22.228,65.619,228.53,342.82,94.506,77.51
0.2214,3598.4,4468.7,9.2418,26.58,42.011,2715.6,74.835,120.39,0.33174,80.128,49.594,2645.1,25.844,49.157,3110.8,22.78,65.63,228.56,343.17,94.574,77.49
0.2181,3618.6,4486.8,9.4179,27.269,42.258,2715.4,74.569,120.39,0.33005,79.949,50.297,2643.9,26.3,50.434,3110.1,23.811,65.661,228.93,343.11,94.734,77.099
0.25896,3656.9,4499.5,9.4352,26.959,42.188,2716.8,74.852,120.4,0.34359,79.829,51.046,2646.3,23.831,50.5,3111.9,23.756,65.598,231.24,342.77,94.614,77.049
0.25997,3699.8,4510.1,9.3781,27.107,42.078,2716.9,75.332,120.41,0.34128,79.761,50.78,2646.3,25.343,51.425,3112.8,23.945,65.581,232.26,342.95,94.599,77.528
0.26682,3626.9,4513.4,9.3665,26.842,42.465,2717.9,74.991,120.39,0.34503,79.803,49.221,2647.4,25.704,49.001,3112.2,23.646,65.594,230.37,343.48,94.64,76.887
0.2652,3641.4,4534,9.4456,26.689,42.458,2717.7,74.891,120.41,0.3487,79.674,50.888,2646.9,25.118,49.94,3112.9,22.914,65.561,232.28,343.14,94.757,77.064
0.24385,3656.3,4541.1,9.3859,26.647,42.321,2720.9,74.977,120.39,0.3605,79.822,49.961,2650.4,25.373,50.233,3115.3,23.249,65.529,233.07,343.39,94.729,77.666
0.24402,3641,4539.2,9.3532,27.013,42.518,2723.8,73.721,120.41,0.35746,79.971,50.175,2653.1,26.031,49.625,3118.2,22.146,65.581,231.24,343.36,94.767,77.281
