F1,F2,F3,F4,F5,F6,P1,LI,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
0.00042659,3718.8,4511,9.3208,26.856,42.171,2703.9,74.341,120.4,0.33774,79.722,48.258,2632.6,26.907,47.448,3099.8,23.032,65.466,228.56,342.4,94.575,76.496
0.0020965,3756,4509.5,9.2521,27.013,41.847,2698.6,74.304,120.39,0.34266,79.594,50.914,2627.2,26.327,48.582,3094.3,22.862,65.411,229.25,341.16,94.634,76.893
-0.00010387,3619.2,4508,9.434,27.033,42.054,2700.7,75.088,120.39,0.3193,80.098,49.627,2630,25.956,51.189,3095.4,23.697,65.434,230.12,340.67,94.805,77.507
0.00095155,3606,4509,9.4052,26.946,41.922,2700.9,74.893,120.35,0.31944,80.472,48.97,2629.8,25.021,48.762,3097.1,22.838,65.575,231.38,339.48,94.843,77.535
0.00037363,3602.3,4576.7,9.4659,26.916,42.128,2698.5,73.595,120.37,0.32249,80.402,50.026,2625.9,25.07,49.424,3098.6,23.25,65.702,228.71,337.6,94.963,77.026
-0.0017786,3629.6,4518.3,9.4241,26.768,42.165,2696.8,75.352,120.37,0.32569,80.203,51.012,2625.2,26.313,49.19,3096.7,23.552,65.708,228.34,337.64,95.028,77.052
-0.00080873,3614.4,4558.6,9.3468,26.887,41.85,2697.4,75.144,120.37,0.33069,80.235,49.168,2625.6,24.993,52.262,3097.8,24.499,65.713,230.17,336.08,95.042,77.278
-0.0020937,3631.2,4602.9,9.399,27.024,42.012,2698.6,75.653,120.38,0.33131,80.306,49.287,2626.1,26.187,49.273,3101.2,23.483,65.684,228.39,335.25,95.134,77.234
-0.00080238,3608.7,4505.1,9.3655,26.625,42.062,2701.4,74.391,120.4,0.33615,80.529,49.693,2628.6,25.783,50.165,3104,22.232,65.711,227.9,334.41,95.111,77.264
-0.00075651,3666.1,4494.9,9.3979,26.985,41.683,2699.4,75.285,120.4,0.33654,80.362,47.969,2626.1,26.825,49.364,3105.3,23.457,65.708,231.37,333.08,95.055,77.282
-0.00040454,3636.5,4555.3,9.4098,26.917,42.17,2702.9,74.184,120.4,0.32923,80.48,48.084,2629.4,25.146,50.698,3108.8,23.17,65.699,226.87,332.53,95.138,77.363
0.00085419,3618,4549,9.4725,27.001,41.928,2703.4,74.857,120.4,0.32658,80.383,49.989,2629.7,25.634,50.286,3111.5,22.193,65.698,229.01,332.05,95.058,76.915
-0.00067711,3677,4443.1,9.4408,26.588,42.373,2704.9,73.909,120.39,0.33349,80.312,51.339,2631.2,26.707,48.512,3113,22.209,65.631,229.41,331.04,95.152,77.272
0.000015995,3664.1,4482.3,9.5346,26.705,42.238,2706.2,74.081,120.44,0.33452,80.474,50.131,2632.2,25.236,50.334,3115.9,21.722,65.622,231.6,330.27,94.969,77.564
0.0017991,3650,4526.2,9.6066,26.719,42.28,2708.7,74.057,120.38,0.32987,80.504,48.578,2634.8,24.885,48.254,3118.5,22.58,65.634,232.06,330.24,95.144,77.284
0.0013582,3650.1,4520.6,9.591,27.118,42.41,2708.2,74.388,120.41,0.3302,80.323,50.305,2633.5,26.937,49.433,3120,22.034,65.6,229.61,328.67,95.094,76.748
-0.00015794,3621.8,4453,9.5473,26.892,41.896,2710.8,73.802,120.37,0.32353,80.3,50.443,2636.7,24.198,50.368,3121.6,22.026,65.541,229.52,328.7,95.137,77.267
-0.00016036,3595.6,4437.5,9.6859,26.905,41.918,2713.3,73.636,120.4,0.3269,80.277,50.156,2638.9,26.07,51.418,3124.6,22.619,65.472,228.57,328.34,95.096,76.995
-0.00041787,3601.5,4446.4,9.5379,26.914,42.123,2716.6,74.367,120.4,0.30575,80.326,48.987,2643,23.902,47.902,3128.6,22.405,65.429,227.77,327.65,95.227,77.277
-0.0015233,3658.9,4450.7,9.5814,27.234,42.372,2718,74.141,120.39,0.30134,80.219,51.309,2644.4,23.985,50.882,3131.9,23.928,65.401,227.12,327.15,95.089,77.224
0.00055275,3675.1,4495.9,9.5662,26.771,42.231,2723.3,72.965,120.41,0.31906,80.39,51.251,2649.2,26.068,49.256,3138,22.557,65.337,229.07,326.56,95.024,77.473
0.00077086,3631.9,4511.4,9.6212,26.742,42.307,2727.4,74.968,120.39,0.32184,80.411,50.325,2653.4,25.008,48.73,3141.1,23.409,65.379,229.29,327.11,94.867,77.08
-0.00066983,3628.5,4397.9,9.5398,26.695,42.116,2726.2,74.306,120.4,0.3151,80.113,50.205,2651.7,25.558,49.567,3142.7,23.086,65.357,231.1,326,95.006,76.944
0.00053384,3629.6,4427,9.5587,26.818,42.413,2728.5,74.799,120.41,0.31504,79.852,48.955,2653.1,25.07,50.531,3145.3,23.191,65.27,231.59,325.91,95.106,76.693
0.0014324,3645.7,4494,9.5873,27.147,42.252,2732.9,73.962,120.41,0.3307,79.843,50.053,2657.7,25.418,50.307,3148.5,21.863,65.171,230.72,326.04,95.149,76.78
0.00026068,3644.8,4455.1,9.685,26.636,42.143,2736.5,74.014,120.4,0.3263,79.846,48.404,2662.1,25.828,49.084,3153.4,23.193,65.11,232.21,325.89,95.103,77.097
0.00028177,3630.2,4437.2,9.673,26.888,42.059,2741.3,73.451,120.38,0.30275,79.807,50.55,2666.5,25.042,50.183,3157.6,23.267,65.09,235.33,325.49,95,76.807
0.00019758,3629.3,4400.7,9.5543,26.811,41.777,2745.5,73.34,120.4,0.29873,79.824,52.69,2671,25.931,49.317,3162.4,22.494,65.087,238.21,325.72,95.154,76.872
-0.002779,3627,4431.6,9.5999,26.899,42.297,2749.5,74.15,120.41,0.31804,79.778,50.154,2674.6,24.329,48.564,3167.6,23.576,65.055,236.86,325.56,95.092,77.113
-0.0031754,3581.8,4432.7,9.6896,26.944,42.6,2755.6,75.09,120.41,0.31842,79.692,50.252,2680.7,24.683,48.924,3170.6,24.164,65.083,236.77,326.19,95.107,76.957
-0.0003838,3666.1,4445.5,9.6014,26.666,42.284,2759,74.682,120.37,0.3256,79.545,50.017,2684.4,27.07,50.377,3176.2,22.29,65.046,238.84,325.71,95.069,76.708
0.00058485,3685.1,4407.4,9.6985,26.881,41.916,2761.5,73.899,120.44,0.31839,79.329,49.665,2686.7,23.275,50.273,3179.4,22.271,64.987,240.9,325.78,94.89,76.845
-0.00046185,3630,4491.8,9.6881,26.871,42.536,2765.5,73.242,120.38,0.29605,79.225,49.765,2690.4,26.189,50,3184.3,22.511,64.926,244.07,326.17,94.922,76.798
-0.00070139,3612.4,4498.6,9.7239,26.878,42.364,2772,74.567,120.44,0.29205,79.251,51.469,2697,25.534,48.738,3190.3,22.417,64.899,244.54,326.03,94.955,76.683
-0.0025565,3633.2,4468.8,9.7229,26.155,42.058,2775,73.31,120.38,0.31395,78.976,50.57,2699.7,25.246,48.223,3193,23.943,64.86,244.66,325.85,94.991,76.299
-0.000039339,3613,4452.9,9.8168,27.076,42.163,2779.3,73.875,120.42,0.31313,78.918,50.52,2704.8,23.93,48.838,3197.7,23.615,64.792,244.2,326.6,95.065,76.665
-0.0033137,3619.9,4407.9,9.6801,26.813,42.318,2785.4,74.151,120.39,0.30282,78.966,49.898,2710.8,24.464,51.617,3203,23.915,64.815,247.81,326.34,94.924,76.68
-0.00048734,3597.4,4434.4,9.6887,27.193,42.504,2790.3,74.724,120.41,0.30528,78.936,49.348,2715.1,25.083,50.059,3208.4,23.404,64.805,247.59,326.43,94.913,76.811
-0.0018244,3617.9,4475.5,9.7367,27.088,42.343,2794.1,73.663,120.4,0.30103,78.835,48.111,2720.5,23.693,49.049,3213.3,22.532,64.824,250.31,326.6,95.011,76.58
-0.00044578,3664.3,4461,9.6434,26.848,42.406,2796.7,74.426,120.37,0.3056,78.549,50.739,2722,26.13,50.657,3216.9,23.632,64.785,254.32,326.32,94.901,76.64
0.00053378,3687.7,4419.4,9.8102,26.723,42.474,2802.6,74.964,120.43,0.30714,78.513,50.404,2727.5,24.413,48.955,3220.6,23.617,64.761,255.08,326.84,94.907,76.441
-0.00016098,3683,4504.2,9.6052,26.914,42.464,2806.8,74.435,120.39,0.30798,78.636,49.501,2732.4,23.27,47.781,3225.4,22,64.767,255.1,326.82,94.847,76.736
-0.0014331,3655.9,4486.7,9.6479,26.955,42.39,2809.5,74.02,120.43,0.28409,78.34,50.259,2734.7,25.094,49.039,3228.7,22.665,64.773,257.3,326.55,94.817,76.102
0.0011711,3630.5,4497.2,9.7682,26.667,42.204,2811.5,73.938,120.41,0.2856,78.059,48.939,2737.8,25.021,48.723,3230.5,22.318,64.729,259.24,326.77,94.676,75.865
-0.00092633,3706.8,4514.9,9.674,26.888,42.022,2816.3,73.972,120.41,0.27234,78.005,50.369,2742.2,25.455,50.72,3233.6,23.076,64.667,263.42,326.76,94.928,76.191
0.00057579,3725.9,4485.7,9.6942,26.914,42.155,2820.6,75.866,120.42,0.27456,78.108,49.582,2746.5,24.104,50.202,3239.3,23.886,64.683,262.89,326.92,94.515,76.664
-0.001649,3656.1,4430.4,9.5815,26.934,42.113,2822.4,75.131,120.4,0.26803,78.178,49.916,2748.7,24.753,47.788,3242.3,23.091,64.791,265.22,326.19,94.791,75.851
-0.000793,3717,4455.5,9.5874,26.686,42.639,2820.6,75.378,120.37,0.26812,77.694,50.079,2746.5,24.444,49.019,3240.6,22.245,64.777,269.08,325.48,94.629,75.708
-0.0010036,3671.5,4448.4,9.667,27.032,42.163,2821.3,74.341,120.41,0.28819,77.456,49.259,2746.5,26.093,50.455,3240.7,22.385,64.693,270.45,325.3,95.078,75.906
0.0017097,3683.3,4495.6,9.6189,26.896,42.051,2825.8,75.285,120.39,0.28549,77.612,48.819,2751.1,22.487,48.946,3243.8,23.398,64.682,270.7,325.42,94.792,76.181
-0.0013187,3592.2,4445.5,9.5247,26.772,42.403,2829.2,75.739,120.35,0.27509,77.671,49.978,2754.2,24.582,49.431,3247.1,22.125,64.749,271.21,325.59,95.155,75.705
0.00020367,3625.5,4482.6,9.5539,26.959,42.219,2830,75.409,120.39,0.27592,77.415,50.841,2756,23.045,49.155,3249.4,23.311,64.751,273.61,325.23,95.171,75.697
0.0022455,3646.2,4491.3,9.507,26.902,42.014,2834,74.699,120.37,0.27909,77.394,50.157,2759.3,25.856,49.884,3253.3,22.49,64.747,277.82,324.55,95.115,75.8
0.00053939,3657.8,4499.2,9.6434,26.982,42.319,2838.1,75.415,120.39,0.2766,77.414,50.539,2762.8,25.038,50.12,3257.8,22.775,64.769,278.48,325.03,95.187,75.821
-0.00043334,3610.8,4488.2,9.5349,26.883,42.593,2840.8,76.451,120.38,0.25037,77.389,50.082,2766.6,23.969,50.702,3261.8,23.298,64.804,278.71,323.97,95.056,75.71
-0.00056694,3669.6,4492.3,9.4631,27.056,42.129,2844.9,74.394,120.42,0.24717,77.351,51.312,2769.6,25.656,51.4,3265,22.357,64.82,281.92,323.69,95.123,75.57
-0.001006,3666.3,4446.7,9.443,26.997,42.152,2845.7,75.993,120.4,0.25821,77.186,49.411,2770.4,27.614,48.753,3265.2,21.938,64.842,285.03,323.95,95.069,75.585
-0.00017902,3641.3,4426.8,9.3705,26.939,42.309,2845.7,75.397,120.38,0.25582,77.06,49.648,2770.4,24.539,49.726,3266.7,23.358,64.857,283.09,323.12,95.168,75.345
0.00099329,3627.3,4550.6,9.4,26.543,42.189,2844.6,76.499,120.39,0.25815,76.805,49.151,2769.5,23.983,48.308,3266.6,22.1,64.846,285.85,322.46,95.251,75.123
0.0021094,3673.4,4481.8,9.4046,26.713,42.328,2849.2,75.353,120.36,0.26136,76.94,50.502,2774,24.194,49.316,3269.4,23.279,64.832,290.54,322.32,95.131,75.837
-0.00067936,3590.2,4482.3,9.3859,26.778,41.64,2851,75.726,120.41,0.24865,77.022,49.312,2775.5,25.334,48.466,3272.7,22.109,64.922,292.44,321.88,95.283,75.316
-0.00085192,3613.2,4422.2,9.4611,26.956,41.95,2854.1,76.666,120.37,0.25077,77.059,49.342,2779.4,24.003,49.787,3275.6,22.72,64.968,293.26,321.47,95.266,75.616
-0.00041857,3647.8,4548.1,9.3202,27.345,41.79,2855.8,76.168,120.4,0.2386,76.911,50.533,2779.6,23.353,49.398,3279.3,23.565,65.063,299.63,320.89,95.348,74.951
-0.001062,3597.6,4542.8,9.3204,26.907,42.166,2856.9,75.537,120.38,0.23733,76.641,49.409,2780.9,24.65,51.476,3280.7,22.301,65.095,301.91,320.12,95.362,74.678
-0.00037171,3694.3,4516.6,9.4088,27.053,41.846,2856.7,75.379,120.4,0.24407,76.599,50.144,2780.4,26.628,49.142,3281.8,21.284,65.086,303.04,319.45,95.303,75.246
-6.0134E-06,3686.2,4501.8,9.272,27.074,42.184,2857.9,76.345,120.41,0.24278,76.604,49.813,2781.6,24.409,49.825,3284.3,22.756,65.117,306,319,95.254,75.118
0.0010325,3654.8,4463.9,9.195,26.98,41.856,2859.2,76.524,120.38,0.25551,76.691,50.967,2783.7,26.513,49.328,3284.3,21.625,65.191,308.28,318.43,95.365,74.949
0.00060756,3631.7,4444.3,9.381,26.995,42.301,2857.6,76.451,120.38,0.25632,76.516,50.517,2781.9,25.505,49.416,3283.8,23.021,65.289,313.76,318.22,95.477,74.743
