F1,F2,F3,F4,F5,F6,P1,L1,T1,F7,T2,L2,P2,F8,L3,P3,F9,T3,F10,C1,T4,T5
0.16489,3674.3,4526.7,9.3728,26.989,42.017,2706,74.866,120.4,0.32863,79.947,50.101,2634.7,27.624,50.062,3101.7,22.384,65.823,232.67,342.64,94.576,77.286
0.16502,3671.3,4528.6,9.2769,26.929,42.519,2705.2,74.943,120.38,0.32893,79.942,51.528,2633.4,24.609,48.374,3100.7,22.903,65.799,231.87,342.91,94.714,77.067
0.24786,3639.1,4552.8,9.3887,26.84,42.245,2705.2,75.031,120.41,0.32663,79.828,48.968,2634.5,26.309,49.666,3100.6,21.449,65.757,233.9,342.4,94.606,77.073
0.24965,3654.2,4571.4,9.3915,27.134,42.579,2707.4,74.337,120.37,0.32922,79.867,51.933,2635.9,25.026,50.471,3102.8,23.834,65.7,233.97,342.46,94.814,77.378
0.24129,3652.9,4513.3,9.4499,26.918,42.427,2711.1,74.46,120.42,0.33527,80.049,50.787,2640.9,24.391,48.317,3106.8,23.271,65.718,233.05,342.84,94.53,77.177
0.24225,3658.1,4551.1,9.3309,27.033,42.341,2710.5,73.872,120.39,0.33588,80.061,48.114,2639.7,24.56,49.618,3108.3,22.796,65.774,233.9,341.88,94.549,77.504
0.24737,3606.1,4551.6,9.2829,26.753,42.077,2711.5,75.368,120.45,0.31957,80.07,48.976,2640.2,22.873,50.652,3109,23.25,65.784,233.92,342.2,94.534,77.711
0.24892,3613.2,4528.3,9.4781,26.61,41.909,2713.6,75.218,120.36,0.31881,80.113,48.791,2643.2,25.706,48.954,3109.2,22.305,65.826,234.85,342.7,94.733,77.474
0.22621,3686.6,4505.2,9.4058,26.933,42.045,2714,74.665,120.43,0.33822,80.127,50.131,2643.2,25.33,50.555,3110.1,22.429,65.857,236.19,342.7,94.473,77.497
0.22773,3651.2,4497.4,9.484,26.889,42.343,2714.4,75.692,120.4,0.3374,80.113,48.301,2643.9,24.023,50.616,3108.7,21.795,65.875,234.45,342.93,94.643,77.357
0.2336,3628.9,4465.8,9.4119,26.844,42.454,2711.8,74.941,120.38,0.33361,79.943,50.256,2641,25.592,50.359,3107.4,24.142,65.905,237.35,342.74,94.484,77.228
0.23225,3699.9,4508,9.4781,26.947,42.158,2712.1,74.963,120.42,0.34003,80.096,49.256,2641.2,24.926,51.171,3108.2,22.75,65.863,236.22,342.4,94.509,77.374
0.2321,3706.9,4515.1,9.3365,27.047,42.61,2707.5,75.085,120.41,0.3446,79.806,49.837,2636.2,27.796,49.368,3105.4,22.264,65.847,235.46,341.85,94.357,76.877
0.23315,3741.6,4506.9,9.3379,27.415,42.221,2706.4,74.624,120.41,0.34639,79.716,49.91,2634.9,24.722,50.279,3103.2,22.454,65.749,231.04,341.88,94.595,77.234
0.22545,3672.9,4544.5,9.2919,26.701,42.322,2706.6,74.767,120.39,0.33772,79.849,50.615,2635.3,24.411,50.906,3101.5,22.032,65.685,230.45,342.12,94.459,77.011
0.22584,3654.6,4506.2,9.3916,27.062,42.006,2705.5,74.586,120.4,0.33894,79.842,49.764,2635.1,26.228,50.337,3102,23.268,65.598,228.82,341.54,94.685,77.371
0.22567,3645,4516.7,9.4098,26.626,42.681,2707.3,75.143,120.38,0.3432,80.072,49.142,2636.5,24.582,51.951,3103.3,23.322,65.548,223.44,341.82,94.448,77.221
